Symbol,Timeframe,Strategy,Total_Trades,Win_Rate,Total_PnL,ROI,Avg_Hold_Hours
BTC/USDT,15m,15m Breakout + Volume,27,44.44444444444444,1.8321454204594405,1.8321454204594405,9.824074074074074
BTC/USDT,1h,1h EMA Crossover + MACD,4,50.0,1.8701929949727814,1.8701929949727814,30.25
ETH/USDT,15m,15m Breakout + Volume,30,46.666666666666664,12.647679996129805,12.647679996129805,4.541666666666667
ETH/USDT,1h,1h EMA Crossover + MACD,8,37.5,-6.0790540801015975,-6.0790540801015975,42.375
SOL/USDT,15m,15m Breakout + Volume,34,41.17647058823529,2.579680833348091,2.579680833348091,5.272058823529412
SOL/USDT,1h,1h EMA Crossover + MACD,2,50.0,-1.6511164891888779,-1.6511164891888779,13.5
SOL/USDT,1d,1d Position Trading (Trend),1,100.0,0.02143674025154057,0.02143674025154057,144.0
BNB/USDT,15m,15m Breakout + Volume,27,55.55555555555556,19.458219668393195,19.458219668393195,4.842592592592593
BNB/USDT,1h,1h EMA Crossover + MACD,3,33.33333333333333,0.7878431169410836,0.7878431169410836,9.666666666666666
BNB/USDT,1d,1d Position Trading (Trend),3,100.0,2.165258144466843,2.165258144466843,304.0
